strategy,budget,class_id,selected_count
random,200,0,1
random,200,2,2
random,200,6,1
random,200,16,1
random,200,17,3
random,200,18,2
random,200,19,5
random,200,24,1
random,200,25,1
random,200,26,1
random,200,28,1
random,200,29,8
random,200,31,1
random,200,37,1
random,200,39,1
random,200,41,1
random,200,46,2
random,200,48,1
random,200,49,4
random,200,50,1
random,200,51,3
random,200,54,3
random,200,55,1
random,200,56,3
random,200,57,1
random,200,59,1
random,200,60,4
random,200,61,2
random,200,62,1
random,200,66,2
random,200,71,8
random,200,72,1
random,200,73,1
random,200,77,1
random,200,78,1
random,200,79,1
random,200,81,1
random,200,82,9
random,200,86,2
random,200,90,1
random,200,92,2
random,200,93,2
random,200,96,4
random,200,97,3
random,200,98,7
random,200,99,3
random,200,100,3
random,200,101,9
random,200,102,7
random,200,105,1
random,200,115,2
random,200,117,11
random,200,118,1
random,200,122,7
random,200,124,2
random,200,127,1
random,200,129,1
random,200,131,4
random,200,133,3
random,200,135,1
random,200,136,2
random,200,138,6
random,200,140,1
random,200,142,2
random,200,144,2
random,200,145,1
random,200,148,2
random,200,149,1
random,200,150,1
random,200,152,1
random,200,153,5
random,200,155,1
random,200,156,3
random,200,158,1
random,200,159,1
random,200,168,1
random,200,169,1
random,200,172,2
random,200,175,6
random,500,0,1
random,500,1,3
random,500,2,3
random,500,3,1
random,500,4,1
random,500,6,1
random,500,14,2
random,500,16,1
random,500,17,7
random,500,18,7
random,500,19,12
random,500,23,4
random,500,24,1
random,500,25,9
random,500,26,1
random,500,27,3
random,500,28,1
random,500,29,11
random,500,31,1
random,500,32,1
random,500,37,1
random,500,38,1
random,500,39,1
random,500,41,1
random,500,42,1
random,500,43,2
random,500,44,1
random,500,45,1
random,500,46,5
random,500,48,2
random,500,49,12
random,500,50,1
random,500,51,4
random,500,52,1
random,500,53,4
random,500,54,6
random,500,55,5
random,500,56,5
random,500,57,1
random,500,59,1
random,500,60,10
random,500,61,6
random,500,62,5
random,500,65,2
random,500,66,2
random,500,71,13
random,500,72,1
random,500,73,1
random,500,74,1
random,500,75,1
random,500,77,4
random,500,78,7
random,500,79,1
random,500,81,2
random,500,82,11
random,500,84,1
random,500,86,7
random,500,87,2
random,500,90,1
random,500,91,2
random,500,92,2
random,500,93,7
random,500,96,15
random,500,97,5
random,500,98,16
random,500,99,7
random,500,100,4
random,500,101,20
random,500,102,16
random,500,105,5
random,500,108,2
random,500,110,5
random,500,112,1
random,500,115,3
random,500,116,2
random,500,117,26
random,500,118,1
random,500,122,13
random,500,124,6
random,500,125,1
random,500,126,1
random,500,127,2
random,500,128,1
random,500,129,4
random,500,130,1
random,500,131,8
random,500,132,2
random,500,133,12
random,500,135,1
random,500,136,5
random,500,138,9
random,500,140,6
random,500,141,1
random,500,142,6
random,500,143,1
random,500,144,2
random,500,145,2
random,500,148,4
random,500,149,9
random,500,150,1
random,500,152,2
random,500,153,21
random,500,154,1
random,500,155,3
random,500,156,6
random,500,158,3
random,500,159,3
random,500,165,1
random,500,168,2
random,500,169,2
random,500,170,1
random,500,172,2
random,500,175,11
random,1000,0,1
random,1000,1,4
random,1000,2,5
random,1000,3,1
random,1000,4,1
random,1000,6,2
random,1000,14,5
random,1000,16,1
random,1000,17,12
random,1000,18,17
random,1000,19,18
random,1000,23,6
random,1000,24,2
random,1000,25,23
random,1000,26,1
random,1000,27,6
random,1000,28,3
random,1000,29,23
random,1000,31,1
random,1000,32,1
random,1000,37,2
random,1000,38,1
random,1000,39,2
random,1000,40,1
random,1000,41,1
random,1000,42,2
random,1000,43,3
random,1000,44,1
random,1000,45,2
random,1000,46,10
random,1000,48,4
random,1000,49,30
random,1000,50,2
random,1000,51,7
random,1000,52,1
random,1000,53,5
random,1000,54,10
random,1000,55,7
random,1000,56,10
random,1000,57,1
random,1000,59,5
random,1000,60,28
random,1000,61,10
random,1000,62,7
random,1000,63,5
random,1000,64,1
random,1000,65,4
random,1000,66,2
random,1000,68,1
random,1000,71,25
random,1000,72,4
random,1000,73,2
random,1000,74,2
random,1000,75,2
random,1000,77,10
random,1000,78,10
random,1000,79,2
random,1000,80,1
random,1000,81,4
random,1000,82,24
random,1000,83,6
random,1000,84,2
random,1000,86,10
random,1000,87,3
random,1000,90,3
random,1000,91,2
random,1000,92,2
random,1000,93,17
random,1000,95,1
random,1000,96,36
random,1000,97,15
random,1000,98,32
random,1000,99,14
random,1000,100,8
random,1000,101,37
random,1000,102,24
random,1000,105,6
random,1000,106,2
random,1000,107,2
random,1000,108,3
random,1000,110,6
random,1000,111,1
random,1000,112,2
random,1000,113,2
random,1000,115,14
random,1000,116,3
random,1000,117,48
random,1000,118,3
random,1000,120,2
random,1000,122,27
random,1000,123,2
random,1000,124,8
random,1000,125,2
random,1000,126,2
random,1000,127,4
random,1000,128,2
random,1000,129,7
random,1000,130,4
random,1000,131,13
random,1000,132,8
random,1000,133,21
random,1000,134,3
random,1000,135,2
random,1000,136,14
random,1000,138,13
random,1000,140,20
random,1000,141,1
random,1000,142,9
random,1000,143,2
random,1000,144,3
random,1000,145,2
random,1000,146,2
random,1000,147,1
random,1000,148,5
random,1000,149,26
random,1000,150,1
random,1000,152,2
random,1000,153,37
random,1000,154,1
random,1000,155,5
random,1000,156,11
random,1000,158,7
random,1000,159,4
random,1000,160,1
random,1000,163,2
random,1000,165,2
random,1000,166,2
random,1000,168,2
random,1000,169,2
random,1000,170,2
random,1000,171,1
random,1000,172,4
random,1000,174,1
random,1000,175,17
random,1000,176,3
margin,200,2,2
margin,200,14,1
margin,200,16,2
margin,200,17,1
margin,200,18,6
margin,200,19,8
margin,200,23,1
margin,200,24,2
margin,200,25,5
margin,200,27,1
margin,200,28,2
margin,200,29,5
margin,200,34,1
margin,200,42,1
margin,200,46,5
margin,200,49,1
margin,200,50,1
margin,200,56,3
margin,200,57,1
margin,200,59,1
margin,200,60,3
margin,200,61,5
margin,200,63,1
margin,200,64,1
margin,200,66,1
margin,200,67,1
margin,200,71,2
margin,200,72,1
margin,200,74,1
margin,200,77,5
margin,200,78,11
margin,200,79,1
margin,200,82,5
margin,200,86,2
margin,200,93,1
margin,200,96,6
margin,200,97,6
margin,200,99,2
margin,200,101,11
margin,200,102,1
margin,200,104,4
margin,200,105,2
margin,200,114,2
margin,200,115,1
margin,200,116,3
margin,200,117,9
margin,200,122,13
margin,200,123,1
margin,200,124,4
margin,200,127,3
margin,200,129,2
margin,200,131,1
margin,200,136,3
margin,200,138,2
margin,200,140,2
margin,200,148,1
margin,200,149,7
margin,200,153,13
margin,200,154,1
margin,200,155,2
margin,200,156,2
margin,200,166,1
margin,200,172,3
margin,200,175,1
margin,500,1,1
margin,500,2,4
margin,500,5,1
margin,500,11,3
margin,500,13,1
margin,500,14,5
margin,500,16,4
margin,500,17,2
margin,500,18,11
margin,500,19,24
margin,500,20,1
margin,500,23,1
margin,500,24,5
margin,500,25,17
margin,500,27,4
margin,500,28,5
margin,500,29,14
margin,500,33,1
margin,500,34,2
margin,500,41,1
margin,500,42,2
margin,500,46,8
margin,500,47,2
margin,500,48,2
margin,500,49,3
margin,500,50,2
margin,500,51,1
margin,500,53,2
margin,500,54,3
margin,500,55,2
margin,500,56,4
margin,500,57,1
margin,500,59,2
margin,500,60,5
margin,500,61,8
margin,500,63,2
margin,500,64,1
margin,500,66,2
margin,500,67,1
margin,500,69,2
margin,500,71,12
margin,500,72,1
margin,500,74,2
margin,500,75,2
margin,500,77,8
margin,500,78,14
margin,500,79,1
margin,500,82,9
margin,500,83,2
margin,500,86,9
margin,500,91,1
margin,500,93,5
margin,500,96,13
margin,500,97,9
margin,500,99,4
margin,500,101,19
margin,500,102,2
margin,500,103,1
margin,500,104,4
margin,500,105,3
margin,500,106,1
margin,500,111,1
margin,500,114,2
margin,500,115,3
margin,500,116,4
margin,500,117,31
margin,500,122,29
margin,500,123,5
margin,500,124,9
margin,500,125,1
margin,500,126,1
margin,500,127,4
margin,500,128,1
margin,500,129,9
margin,500,130,1
margin,500,131,1
margin,500,132,1
margin,500,133,1
margin,500,134,1
margin,500,136,7
margin,500,137,2
margin,500,138,7
margin,500,140,10
margin,500,141,1
margin,500,142,2
margin,500,143,3
margin,500,146,5
margin,500,148,2
margin,500,149,13
margin,500,150,1
margin,500,151,2
margin,500,152,2
margin,500,153,28
margin,500,154,3
margin,500,155,3
margin,500,156,3
margin,500,157,1
margin,500,158,1
margin,500,159,3
margin,500,164,2
margin,500,166,2
margin,500,168,2
margin,500,172,5
margin,500,175,1
margin,1000,0,1
margin,1000,1,2
margin,1000,2,9
margin,1000,5,1
margin,1000,6,1
margin,1000,8,1
margin,1000,10,1
margin,1000,11,4
margin,1000,13,6
margin,1000,14,8
margin,1000,16,5
margin,1000,17,4
margin,1000,18,15
margin,1000,19,38
margin,1000,20,1
margin,1000,21,1
margin,1000,23,1
margin,1000,24,5
margin,1000,25,30
margin,1000,26,1
margin,1000,27,7
margin,1000,28,11
margin,1000,29,26
margin,1000,30,1
margin,1000,32,1
margin,1000,33,2
margin,1000,34,2
margin,1000,38,1
margin,1000,39,2
margin,1000,40,1
margin,1000,41,5
margin,1000,42,3
margin,1000,46,16
margin,1000,47,2
margin,1000,48,3
margin,1000,49,9
margin,1000,50,3
margin,1000,51,14
margin,1000,52,3
margin,1000,53,3
margin,1000,54,7
margin,1000,55,6
margin,1000,56,7
margin,1000,57,1
margin,1000,59,2
margin,1000,60,12
margin,1000,61,12
margin,1000,62,1
margin,1000,63,5
margin,1000,64,1
margin,1000,65,1
margin,1000,66,2
margin,1000,67,6
margin,1000,68,1
margin,1000,69,2
margin,1000,71,25
margin,1000,72,2
margin,1000,73,1
margin,1000,74,3
margin,1000,75,4
margin,1000,77,12
margin,1000,78,15
margin,1000,79,4
margin,1000,80,1
margin,1000,82,17
margin,1000,83,6
margin,1000,85,1
margin,1000,86,22
margin,1000,89,1
margin,1000,90,1
margin,1000,91,1
margin,1000,93,10
margin,1000,96,26
margin,1000,97,13
margin,1000,98,1
margin,1000,99,8
margin,1000,101,68
margin,1000,102,2
margin,1000,103,4
margin,1000,104,11
