method,alpha,true_class,pred_class,rank_for_bad_class,confusion_count,confusion_rate,support
static,,5,14,1,104,0.0962962962962963,1080
static,,5,6,2,59,0.05462962962962963,1080
static,,5,124,3,53,0.049074074074074076,1080
static,,5,151,4,30,0.027777777777777776,1080
static,,5,83,5,20,0.018518518518518517,1080
static,,6,5,1,942,0.5593824228028503,1684
static,,6,14,2,64,0.03800475059382423,1684
static,,6,151,3,36,0.021377672209026127,1684
static,,6,149,4,15,0.008907363420427554,1684
static,,6,83,5,9,0.005344418052256532,1684
static,,10,156,1,366,0.3645418326693227,1004
static,,10,138,2,250,0.24900398406374502,1004
static,,10,117,3,107,0.10657370517928287,1004
static,,10,132,4,34,0.03386454183266932,1004
static,,10,61,5,31,0.030876494023904383,1004
static,,11,153,1,446,0.2550028587764437,1749
static,,11,93,2,270,0.15437392795883362,1749
static,,11,133,3,131,0.07489994282447113,1749
static,,11,148,4,49,0.02801600914808462,1749
static,,11,176,5,39,0.022298456260720412,1749
static,,12,156,1,55,0.20912547528517111,263
static,,12,117,2,47,0.17870722433460076,263
static,,12,63,3,28,0.10646387832699619,263
static,,12,125,4,16,0.060836501901140684,263
static,,12,50,5,8,0.030418250950570342,263
static,,14,129,1,1203,0.20666552138807764,5821
static,,14,63,2,343,0.058924583404913244,5821
static,,14,61,3,297,0.05102216114069748,5821
static,,14,153,4,256,0.04397869781824429,5821
static,,14,86,5,179,0.0307507301151005,5821
static,,26,13,1,174,0.21561338289962825,807
static,,26,49,2,98,0.12143742255266418,807
static,,26,136,3,74,0.09169764560099132,807
static,,26,46,4,65,0.080545229244114,807
static,,26,61,5,57,0.07063197026022305,807
static,,28,49,1,1062,0.1826311263972485,5815
static,,28,117,2,397,0.06827171109200345,5815
static,,28,158,3,322,0.05537403267411866,5815
static,,28,95,4,267,0.04591573516766982,5815
static,,28,142,5,262,0.045055889939810835,5815
static,,38,45,1,89,0.46113989637305697,193
static,,38,39,2,52,0.2694300518134715,193
static,,38,105,3,7,0.03626943005181347,193
static,,38,133,4,7,0.03626943005181347,193
static,,38,125,5,5,0.025906735751295335,193
static,,47,5,1,279,0.45145631067961167,618
static,,47,6,2,96,0.1553398058252427,618
static,,47,7,3,59,0.09546925566343042,618
static,,47,151,4,43,0.06957928802588997,618
static,,47,102,5,33,0.05339805825242718,618
static,,48,14,1,1310,0.389764950907468,3361
static,,48,177,2,1096,0.32609342457601903,3361
static,,48,170,3,577,0.1716750966974115,3361
static,,48,6,4,200,0.05950609937518596,3361
static,,48,5,5,41,0.012198750371913121,3361
static,,56,96,1,3063,0.25236878965147896,12137
static,,56,165,2,3015,0.24841394084205323,12137
static,,56,118,3,2489,0.20507538930542968,12137
static,,56,14,4,1140,0.09392765922386093,12137
static,,56,71,5,576,0.047458185713108676,12137
static,,66,71,1,271,0.13861892583120206,1955
static,,66,142,2,266,0.1360613810741688,1955
static,,66,49,3,240,0.12276214833759591,1955
static,,66,78,4,154,0.07877237851662404,1955
static,,66,108,5,140,0.07161125319693094,1955
static,,69,105,1,703,0.3767416934619507,1866
static,,69,39,2,198,0.10610932475884244,1866
static,,69,60,3,181,0.0969989281886388,1866
static,,69,125,4,151,0.08092175777063237,1866
static,,69,18,5,136,0.07288317256162916,1866
static,,104,2,1,370,0.2121559633027523,1744
static,,104,117,2,299,0.17144495412844038,1744
static,,104,133,3,272,0.1559633027522936,1744
static,,104,19,4,254,0.14564220183486237,1744
static,,104,110,5,111,0.06364678899082568,1744
static,,109,71,1,98,0.24936386768447838,393
static,,109,158,2,79,0.2010178117048346,393
static,,109,140,3,62,0.15776081424936386,393
static,,109,116,4,27,0.06870229007633588,393
static,,109,142,5,26,0.06615776081424936,393
static,,118,25,1,971,0.37679472254559565,2577
static,,118,96,2,20,0.007760962359332557,2577
static,,118,117,3,13,0.005044625533566162,2577
static,,118,90,4,12,0.004656577415599534,2577
static,,118,124,5,12,0.004656577415599534,2577
static,,139,133,1,147,0.1510791366906475,973
static,,139,32,2,105,0.1079136690647482,973
static,,139,61,3,83,0.08530318602261049,973
static,,139,153,4,50,0.051387461459403906,973
static,,139,156,5,46,0.047276464542651594,973
static,,164,138,1,177,0.10479573712255773,1689
static,,164,117,2,147,0.08703374777975133,1689
static,,164,149,3,99,0.0586145648312611,1689
static,,164,124,4,60,0.035523978685612786,1689
